"University_link","Picture_Url","University_Name","City","Rank_In_Japan","Rank_In_World","Global_Score","Enrollment","Comparison","Comparison"
"https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248","https://www.usnews.com/object/image/00000157-013b-d00c-a1d7-4bbb24f90000/$160906_UTokyo?size=responsive300&update-time=1473194841577","University of Tokyo","Tokyo","#1","#81","72.4","26,112","",""
"https://www.usnews.com/education/best-global-universities/kyoto-university-505388","https://www.usnews.com/object/image/0000014e-1cf4-d7a8-ab6e-def619550000/$150622_Kyoto_University_1.jpg?size=responsive300&update-time=1435004867754","Kyoto University","Kyoto","#2","#140","66.9","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/osaka-university-505864","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Osaka University","Suita","#3","#286","59.0","22,485","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/tohoku-university-500862","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tohoku University","Sendai","#3","#286","59.0","17,812","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/nagoya-university-501944","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nagoya University","Nagoya","#5","#333","56.8","15,224","(tie)",""
"https://www.usnews.com/education/best-global-universities/kyushu-university-505482","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyushu University","Fukuoka","#6","#349","56.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/tokyo-institute-of-technology-504950","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo Institute of Technology","Tokyo","#7","#360","55.7","9,878","(tie)",""
"https://www.usnews.com/education/best-global-universities/hokkaido-university-501928","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hokkaido University","Sapporo","#8","#432","53.6","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-tsukuba-506429","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Tsukuba","Tsukuba","#8","#432","53.6","16,626","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/keio-university-500715","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Keio University","Tokyo","#10","#517","50.6","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/waseda-university-501931","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Waseda University","Tokyo","#11","#579","48.8","46,798","(tie)",""
"https://www.usnews.com/education/best-global-universities/kobe-university-504263","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kobe University","Kobe","#12","#583","48.7","15,478","(tie)",""
"https://www.usnews.com/education/best-global-universities/hiroshima-university-502589","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hiroshima University","Hiroshima","#13","#667","46.5","14,612","(tie)",""
"https://www.usnews.com/education/best-global-universities/okayama-university-504249","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Okayama University","Okayama City","#14","#750","44.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/tokyo-metropolitan-university-505425","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo Metropolitan University","Tokyo","#15","#757","44.3","8,829","(tie)",""
"https://www.usnews.com/education/best-global-universities/okinawa-institute-of-science-technology-graduate-university-529703","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Okinawa Institute of Science & Technology Graduate University","Kunigami","#16","#807","43.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/graduate-university-for-advanced-studies-japan-528948","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Graduate University for Advanced Studies - Japan","Hayama","#17","#826","42.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/chiba-university-503793","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Chiba University","Chiba-shi","#18","#835","42.3","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/yokohama-city-university-529035","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Yokohama City University","Yokohama","#18","#835","42.3","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/tokyo-medical-dental-university-tmdu-505893","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo Medical & Dental University (TMDU)","Tokyo","#20","#884","41.2","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/shinshu-university-505095","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shinshu University","Matsumoto","#21","#984","39.1","10,603","(tie)",""
"https://www.usnews.com/education/best-global-universities/kumamoto-university-505102","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kumamoto University","Kumamoto","#22","#1,049","37.6","9,536","(tie)",""
"https://www.usnews.com/education/best-global-universities/kanazawa-university-503283","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kanazawa University","Kanazawa","#23","#1,060","37.4","9,888","(tie)",""
"https://www.usnews.com/education/best-global-universities/niigata-university-504351","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Niigata University","Niigata","#24","#1,066","37.3","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/osaka-metropolitan-university-530032","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Osaka Metropolitan University","Osaka","#25","#1,085","36.9","15,782","(tie)",""
"https://www.usnews.com/education/best-global-universities/tokyo-university-of-science-503707","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo University of Science","Tokyo","#26","#1,095","36.7","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/nagasaki-university-503741","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nagasaki University","Nagasaki","#27","#1,136","35.7","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kindai-university-kinki-university-505855","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kindai University (Kinki University)","Higashiosaka","#28","#1,163","35.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/university-of-occupational-environmental-health---japan-529360","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Occupational & Environmental Health - Japan","Fukuoka","#29","#1,172","34.8","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/tokyo-medical-university-529058","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo Medical University","Tokyo","#30","#1,180","34.7","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/tokai-university-505943","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokai University","Hiratsuka","#31","#1,184","34.6","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/juntendo-university-502999","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Juntendo University","Tokyo","#32","#1,233","33.7","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/nara-institute-of-science-technology-528981","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nara Institute of Science & Technology","Ikoma","#32","#1,233","33.7","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/tokyo-university-of-agriculture-technology-504314","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo University of Agriculture & Technology","Tokyo","#34","#1,309","32.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/ehime-university-505737","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ehime University","Matsuyama","#35","#1,346","31.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kagoshima-university-500650","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kagoshima University","Kagoshima","#36","#1,350","31.3","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/fujita-health-university-529208","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Fujita Health University","Toyoake","#37","#1,357","31.1","3,431","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-toyama-501284","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Toyama","Toyama","#37","#1,357","31.1","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/gifu-university-506304","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Gifu University","Gifu","#39","#1,381","30.5","7,417","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/nihon-university-504934","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nihon University","Tokyo","#39","#1,381","30.5","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/tokyo-womens-medical-university-529047","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo Women's Medical University","Tokyo","#41","#1,425","29.5","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/jikei-university-529126","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Jikei University","Tokyo","#42","#1,431","29.3","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/kyushu-institute-of-technology-529222","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyushu Institute of Technology","Fukuoka","#42","#1,431","29.3","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/tokushima-university-503027","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokushima University","Tokushima","#42","#1,431","29.3","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/ritsumeikan-university-528871","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ritsumeikan University","Kyoto","#45","#1,438","29.2","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/toho-university-529265","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Toho University","Tokyo","#46","#1,478","28.2","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/teikyo-university-529123","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Teikyo University","Tokyo","#47","#1,489","28.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kagawa-university-529279","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kagawa University","Takamatsu","#48","#1,494","27.9","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/yamaguchi-university-505526","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Yamaguchi University","Yamaguchi City","#48","#1,494","27.9","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/yamagata-university-529042","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Yamagata University","Yamagata","#50","#1,522","27.2","8,684","(tie)",""
"https://www.usnews.com/education/best-global-universities/japan-advanced-institute-of-science-technology-jaist-529613","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Japan Advanced Institute of Science & Technology (JAIST)","Nomi","#51","#1,526","27.1","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/yokohama-national-university-529211","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Yokohama National University","Yokohama","#51","#1,526","27.1","9,714","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-electro-communications-japan-529005","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Electro-Communications - Japan","Tokyo","#53","#1,535","27.0","4,662","(tie)",""
"https://www.usnews.com/education/best-global-universities/university-of-ryukyus-529099","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Ryukyus","Nishihara","#54","#1,549","26.8","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/showa-university-529125","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Showa University","Tokyo","#55","#1,567","26.3","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kitasato-university-505240","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kitasato University","Tokyo","#56","#1,570","26.2","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kyoto-prefectural-university-of-medicine-529120","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyoto Prefectural University of Medicine","Kyoto","#57","#1,581","26.0","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/shizuoka-university-503668","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shizuoka University","Suruga-ku, Shizuoka City","#57","#1,581","26.0","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/gunma-university-504586","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Gunma University","Maebashi","#59","#1,589","25.8","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/kochi-university-528839","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kochi University","Kochi","#59","#1,589","25.8","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/hirosaki-university-529263","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hirosaki University","Hirosaki","#61","#1,609","25.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/tottori-university-529530","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tottori University","Tottori City","#62","#1,617","25.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/tokyo-university-of-marine-science-technology-530054","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo University of Marine Science & Technology","Minato City","#63","#1,621","25.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/saitama-university-529191","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Saitama University","Saitama City","#64","#1,627","24.8","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/fukuoka-university-529259","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Fukuoka University","Fukuoka","#65","#1,636","24.6","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/mie-university-529216","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Mie University","Tsu","#66","#1,647","24.5","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/nagaoka-university-of-technology-529077","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nagaoka University of Technology","Nagaoka","#67","#1,653","24.4","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/saga-university-529232","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Saga University","Saga","#67","#1,653","24.4","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/nagoya-institute-of-technology-529083","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nagoya Institute of Technology","Nagoya","#69","#1,658","24.3","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/nagoya-city-university-529121","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nagoya City University","Nagoya","#70","#1,675","23.8","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/university-of-miyazaki-529246","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Miyazaki","Miyazaki City","#71","#1,677","23.7","N/A","",""
"https://www.usnews.com/education/best-global-universities/university-of-yamanashi-529231","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Yamanashi","Kofu","#72","#1,686","23.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/international-university-of-health-welfare-529920","https://www.usnews.com/static-atlas/assets/img/education/education.svg","International University of Health & Welfare","Otawara","#73","#1,705","22.9","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/wakayama-medical-university-529624","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Wakayama Medical University","Wakayama","#73","#1,705","22.9","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/shimane-university-529295","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shimane University","Matsue","#75","#1,712","22.8","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/hamamatsu-university-school-of-medicine-529625","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hamamatsu University School of Medicine","Hamamatsu","#76","#1,718","22.6","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/kurume-university-529122","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kurume University","Kurume","#76","#1,718","22.6","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/jichi-medical-university-529127","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Jichi Medical University","Shimotsuke","#78","#1,723","22.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/nippon-medical-school-529119","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nippon Medical School","Tokyo","#79","#1,741","21.9","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kyoto-institute-of-technology-529087","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyoto Institute of Technology","Kyoto","#80","#1,767","21.2","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kansai-medical-university-529913","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kansai Medical University","Hirakata","#81","#1,771","21.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/meiji-university-530012","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Meiji University","Chiyoda","#82","#1,774","21.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/chuo-university-530015","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Chuo University","Tokyo","#83","#1,788","20.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/fukushima-medical-university-529542","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Fukushima Medical University","Fukushima City","#84","#1,798","20.1","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/oita-university-529501","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Oita University","Oita City","#84","#1,798","20.1","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/kwansei-gakuin-university-530072","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kwansei Gakuin University","Hyogo","#86","#1,803","20.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/saitama-medical-university-529373","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Saitama Medical University","Iruma","#87","#1,812","19.4","N/A","",""
"https://www.usnews.com/education/best-global-universities/kyorin-university-529361","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyorin University","Tokyo","#88","#1,813","19.3","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/nara-medical-university-529626","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nara Medical University","Kashihara","#89","#1,857","17.8","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-hyogo-529288","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Hyogo","Kobe","#89","#1,857","17.8","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/shiga-university-of-medical-science-529486","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shiga University of Medical Science","Otsu","#91","#1,861","17.7","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/iwate-university-529352","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Iwate University","Morioka","#92","#1,871","17.3","N/A","",""
"https://www.usnews.com/education/best-global-universities/doshisha-university-529524","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Doshisha University","Kyoto","#93","#1,873","17.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/akita-university-529499","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Akita University","Akita City","#94","#1,879","16.8","N/A","",""
"https://www.usnews.com/education/best-global-universities/ibaraki-university-529238","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ibaraki University","Mito","#95","#1,883","16.6","N/A","",""
"https://www.usnews.com/education/best-global-universities/saint-marianna-university-529908","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Saint Marianna University","Kawasaki City","#96","#1,884","16.5","N/A","",""
"https://www.usnews.com/education/best-global-universities/hyogo-college-of-medicine-529298","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hyogo College of Medicine","Nishinomiya","#97","#1,891","16.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/university-of-fukui-529297","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Fukui","Fukui","#98","#1,899","15.6","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/osaka-medical-college-529369","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Osaka Medical College","Osaka","#99","#1,911","15.0","N/A","",""
"https://www.usnews.com/education/best-global-universities/iwate-medical-university-529372","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Iwate Medical University","Morioka","#100","#1,919","14.3","N/A","",""
"https://www.usnews.com/education/best-global-universities/meijo-university-530101","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Meijo University","Nagoya","#101","#1,923","13.7","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/aichi-medical-university-529374","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Aichi Medical University","Nagakute","#102","#1,945","12.6","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/university-of-shizuoka-530115","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Shizuoka","Shizuoka","#103","#1,950","12.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/dokkyo-medical-university-529918","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Dokkyo Medical University","Shimotsugagun","#104","#1,960","11.5","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/sapporo-medical-university-529250","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Sapporo Medical University","Sapporo","#105","#1,982","9.2","N/A","",""
"https://www.usnews.com/education/best-global-universities/asahikawa-medical-college-529946","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Asahikawa Medical College","Asahikawa","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/hiroshima-institute-of-technology-529435","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hiroshima Institute of Technology","Hiroshima","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/kanazawa-medical-university-529368","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kanazawa Medical University","Kahoku","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/kawasaki-medical-school-529359","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kawasaki Medical School","Kurashiki","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/kyoto-university-of-education-529651","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyoto University of Education","Kyoto","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/nagasaki-institute-of-applied-science-529751","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nagasaki Institute of Applied Science","Nagasaki","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/nara-womens-university-529792","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nara Womens University","Nara","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/national-defense-medical-college-japan-529925","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Defense Medical College - Japan","Tokorozawa","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/ochanomizu-university-529332","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ochanomizu University","Tokyo","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/tohoku-medical-pharmaceutical-university-529932","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tohoku Medical & Pharmaceutical University","Sendai","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/tokyo-dental-college-530166","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo Dental College","Chiyoda","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/toyohashi-university-of-technology-530193","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Toyohashi University of Technology","Toyohashi","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/university-of-aizu-530177","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Aizu","Aizuwakamatsu","Unranked","Unranked","N/A","N/A","",""