"University_link","Picture_Url","University_Name","City","Rank_In_Netherlands","Rank_In_World","Comparison","Paragraph-sc-1iyax29-0 3","Global_Score","Enrollment"
"https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Amsterdam","Amsterdam","#1","#39","(tie)","The University of Amsterdam is a public institution that traces its roots back to 1632. The university is spread across...","76.8","N/A"
"https://www.usnews.com/education/best-global-universities/utrecht-university-505962","https://www.usnews.com/object/image/00000157-7618-dca0-ad7f-7ebf35550000/$160929_UtrechtUniv?size=responsive300&update-time=1490132368352","Utrecht University","Utrecht","#2","#44","","Utrecht University is a public institution that was founded in 1636. ItÂ is located in the city of Utrecht in the...","75.7","32,532"
"https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Erasmus University Rotterdam","Rotterdam","#3","#65","(tie)","Erasmus University Rotterdam is a public institution that traces its roots back to 1913. However, the university did not...","73.4","N/A"
"https://www.usnews.com/education/best-global-universities/leiden-university-503069","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Leiden University","Leiden","#4","#74","(tie)","Leiden University is a public institution that was founded in 1575, making it the oldest university in the Netherlands...","72.8","N/A"
"https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Vrije Universiteit Amsterdam","Amsterdam","#5","#82","","VU University Amsterdam is a public institution that was founded in 1880. The Dutch university is located in the Zuidas...","72.3","N/A"
"https://www.usnews.com/education/best-global-universities/university-of-groningen-500967","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Groningen","Groningen","#6","#88","","The University of Groningen is a public institution that was founded in 1614, making it one of the oldest universities...","71.5","30,009"
"https://www.usnews.com/education/best-global-universities/wageningen-university-research-501112","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Wageningen University & Research","Wageningen","#7","#89","(tie)","","71.3","15,404"
"https://www.usnews.com/education/best-global-universities/radboud-university-nijmegen-501519","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Radboud University Nijmegen","Nijmegen","#8","#106","","","69.4","21,979"
"https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Delft University of Technology","Delft","#9","#169","","","65.1","N/A"
"https://www.usnews.com/education/best-global-universities/maastricht-university-505759","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Maastricht University","Maastricht","#10","#186","(tie)","","63.6","N/A"
"https://www.usnews.com/education/best-global-universities/eindhoven-university-of-technology-501655","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Eindhoven University of Technology","Eindhoven","#11","#342","(tie)","","56.4","N/A"
"https://www.usnews.com/education/best-global-universities/university-of-twente-506687","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Twente","Enschede","#12","#400","(tie)","","54.4","9,816"
"https://www.usnews.com/education/best-global-universities/tilburg-university-499980","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tilburg University","Tilburg","#13","#531","(tie)","","50.2","11,876"
"https://www.usnews.com/education/best-global-universities/ihe-delft-institute-for-water-education-529607","https://www.usnews.com/static-atlas/assets/img/education/education.svg","IHE Delft Institute for Water Education","Delft","#14","#1,008","(tie)","","38.6","N/A"
"https://www.usnews.com/education/best-global-universities/open-university-netherlands-529763","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Open University Netherlands","Heerlen","Unranked","Unranked","","","N/A","N/A"