"University_link","Picture_Url","University_Name","City","Rank_In_Uk","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/university-of-oxford-503637","https://www.usnews.com/object/image/0000014e-d0b5-d0b6-afdf-d0b7fab40000/$150727Oxford?size=responsive300&update-time=1438090160344","University of Oxford","Oxford","#1","#5","86.8","N/A",""
"https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149","https://www.usnews.com/object/image/0000014e-d0dd-d0b6-afdf-d0dfa5e00000/$150727Cambridge?size=responsive300&update-time=1475263504175","University of Cambridge","Cambridge (U.K.)","#2","#8","86.1","20,385",""
"https://www.usnews.com/education/best-global-universities/university-college-london-501693","https://www.usnews.com/object/image/00000157-8cae-dca0-ad7f-ccbf42550000/$161003_UCL?size=responsive300&update-time=1475534101225","University College London","London (U.K.)","#3","#12","84.4","36,900",""
"https://www.usnews.com/education/best-global-universities/imperial-college-london-505571","https://www.usnews.com/object/image/00000152-12d6-dafd-add2-b3f6ec120000/$160105_ImperialCollegeLondon?size=responsive300&update-time=1467838338695","Imperial College London","London (U.K.)","#4","#13","84.3","18,455",""
"https://www.usnews.com/education/best-global-universities/kings-college-london-500330","https://www.usnews.com/static-atlas/assets/img/education/education.svg","King's College London","London (U.K.)","#5","#33","77.9","29,240",""
"https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832","https://www.usnews.com/object/image/00000157-8ca2-ddc3-af5f-cfab484d0000/$161003_UniofEdinburgh?size=responsive300&update-time=1475533316583","University of Edinburgh","Edinburgh","#6","#34","77.8","32,800",""
"https://www.usnews.com/education/best-global-universities/university-of-manchester-500273","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Manchester","Manchester","#7","#63","73.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Glasgow","Glasgow","#8","#74","72.8","28,250","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Birmingham","Birmingham (U.K.)","#9","#89","71.3","32,560","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-bristol-505342","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Bristol","Bristol","#10","#93","70.7","25,660","(tie)"
"https://www.usnews.com/education/best-global-universities/queen-mary-university-london-503389","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Queen Mary University London","London (U.K.)","#11","#100","70.2","20,485","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-southampton-504892","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Southampton","Southampton","#12","#104","69.7","N/A",""
"https://www.usnews.com/education/best-global-universities/london-school-of-hygiene-tropical-medicine-503353","https://www.usnews.com/static-atlas/assets/img/education/education.svg","London School of Hygiene & Tropical Medicine","London (U.K.)","#13","#129","67.5","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-sheffield-503922","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Sheffield","Sheffield","#14","#134","67.3","27,840","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-leeds-505265","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Leeds","Leeds","#15","#140","66.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Nottingham","Nottingham","#16","#145","66.7","N/A",""
"https://www.usnews.com/education/best-global-universities/university-of-liverpool-506611","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Liverpool","Liverpool","#17","#146","66.6","27,145","(tie)"
"https://www.usnews.com/education/best-global-universities/cardiff-university-500071","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Cardiff University","Cardiff","#18","#152","66.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-exeter-502021","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Exeter","Exeter","#18","#152","66.1","24,940","(tie)"
"https://www.usnews.com/education/best-global-universities/newcastle-university-uk-503247","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Newcastle University - UK","Newcastle upon Tyne","#20","#156","65.9","26,920","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-warwick-503443","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Warwick","Coventry","#21","#163","65.7","23,895","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-sussex-503906","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Sussex","Brighton","#22","#175","64.2","18,015","(tie)"
"https://www.usnews.com/education/best-global-universities/lancaster-university-504720","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Lancaster University","Lancaster","#23","#182","63.9","14,665","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-leicester-501221","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Leicester","Leicester","#24","#217","62.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/london-school-economics-political-science-502076","https://www.usnews.com/static-atlas/assets/img/education/education.svg","London School Economics & Political Science","London (U.K.)","#25","#236","61.2","11,310","(tie)"
"https://www.usnews.com/education/best-global-universities/durham-university-501717","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Durham University","Durham (U.K.)","#26","#277","59.3","18,715","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-aberdeen-501749","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Aberdeen","Aberdeen","#26","#277","59.3","13,010","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-york-uk-505776","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of York - UK","York","#28","#280","59.2","17,965","(tie)"
"https://www.usnews.com/education/best-global-universities/queens-university-belfast-505350","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Queens University Belfast","Belfast","#29","#295","58.6","20,195","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-east-anglia-503561","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of East Anglia","Norwich","#30","#330","57.0","16,245","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-reading-504198","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Reading","Reading","#31","#333","56.8","16,195","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-dundee-506606","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Dundee","Dundee","#32","#339","56.6","13,550","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-st-andrews-503328","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of St Andrews","Fife","#33","#352","56.0","9,645","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-surrey-505401","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Surrey","Surrey","#34","#370","55.3","15,875","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-strathclyde-504736","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Strathclyde","Glasgow","#35","#379","55.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-bath-506373","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Bath","Bath","#36","#409","54.2","16,730","(tie)"
"https://www.usnews.com/education/best-global-universities/st-georges-university-london-502037","https://www.usnews.com/static-atlas/assets/img/education/education.svg","St Georges University London","London (U.K.)","#37","#416","54.0","3,535","(tie)"
"https://www.usnews.com/education/best-global-universities/swansea-university-505583","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Swansea University","Swansea","#38","#463","52.8","17,745","(tie)"
"https://www.usnews.com/education/best-global-universities/brunel-university-502232","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Brunel University","Uxbridge","#39","#485","51.9","14,185",""
"https://www.usnews.com/education/best-global-universities/liverpool-john-moores-university-504028","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Liverpool John Moores University","Liverpool","#40","#497","51.4","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-west-scotland-530028","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of West Scotland","Glasgow","#41","#501","51.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/loughborough-university-506503","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Loughborough University","Loughborough","#42","#526","50.3","17,130","(tie)"
"https://www.usnews.com/education/best-global-universities/london-business-school-504845","https://www.usnews.com/static-atlas/assets/img/education/education.svg","London Business School","London (U.K.)","#43","#554","49.5","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-plymouth-500972","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Plymouth","Plymouth","#44","#558","49.4","16,180","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-portsmouth-505745","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Portsmouth","Portsmouth","#44","#558","49.4","23,595","(tie)"
"https://www.usnews.com/education/best-global-universities/liverpool-school-of-tropical-medicine-529389","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Liverpool School of Tropical Medicine","Liverpool","#46","#561","49.3","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-kent-500018","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Kent","Canterbury","#47","#576","48.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/royal-holloway-university-london-501237","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Royal Holloway University London","Egham","#48","#593","48.4","10,770","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-essex-502672","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Essex","Colchester","#49","#633","47.3","15,075","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-stirling-528876","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Stirling","Stirling","#50","#653","46.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/northumbria-university-529055","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Northumbria University","Newcastle upon Tyne","#51","#708","45.5","23,495","(tie)"
"https://www.usnews.com/education/best-global-universities/cranfield-university-500995","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Cranfield University","Cranfield","#52","#710","45.4","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/aston-university-528938","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Aston University","Birmingham (U.K.)","#53","#717","45.3","13,230","(tie)"
"https://www.usnews.com/education/best-global-universities/heriot-watt-university-506192","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Heriot Watt University","Edinburgh","#54","#725","45.1","9,885","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-hull-505254","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Hull","Hull","#55","#732","44.9","12,725","(tie)"
"https://www.usnews.com/education/best-global-universities/anglia-ruskin-university-529443","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Anglia Ruskin University","Cambridge (U.K.)","#56","#750","44.4","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/manchester-metropolitan-university-528968","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Manchester Metropolitan University","Manchester","#56","#750","44.4","29,830","(tie)"
"https://www.usnews.com/education/best-global-universities/open-university-uk-506455","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Open University - UK","Milton Keynes","#58","#770","43.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-brighton-528973","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Brighton","Brighton","#59","#789","43.4","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/nottingham-trent-university-529163","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nottingham Trent University","Nottingham","#60","#807","43.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/ulster-university-528872","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ulster University","Coleraine","#61","#814","42.8","19,680","(tie)"
"https://www.usnews.com/education/best-global-universities/bangor-university-528852","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Bangor University","Bangor","#62","#884","41.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/bournemouth-university-529060","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Bournemouth University","Poole","#62","#884","41.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/city-university-london-503692","https://www.usnews.com/static-atlas/assets/img/education/education.svg","City University London","London (U.K.)","#64","#889","41.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/birkbeck-university-london-506805","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Birkbeck University London","London (U.K.)","#65","#912","40.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-lincoln-529675","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Lincoln","Lincoln (U.K.)","#66","#935","40.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/edinburgh-napier-university-529991","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Edinburgh Napier University","Edinburgh","#67","#943","40.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/aberystwyth-university-528922","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Aberystwyth University","Aberystwyth","#68","#953","39.8","6,265","(tie)"
"https://www.usnews.com/education/best-global-universities/keele-university-504593","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Keele University","Staffordshire","#68","#953","39.8","9,195","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-london-royal-veterinary-college-528814","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of London Royal Veterinary College","London (U.K.)","#70","#959","39.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/oxford-brookes-university-529009","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Oxford Brookes University","Oxford","#71","#1,013","38.5","14,580","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-west-england-529164","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of West England","Bristol","#72","#1,027","38.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/middlesex-university-528885","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Middlesex University","London (U.K.)","#73","#1,049","37.6","16,415","(tie)"
"https://www.usnews.com/education/best-global-universities/coventry-university-529401","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Coventry University","Coventry","#74","#1,080","37.1","33,395","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-huddersfield-529422","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Huddersfield","Huddersfield","#75","#1,085","36.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-salford-529039","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Salford","Salford","#76","#1,095","36.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/glasgow-caledonian-university-529566","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Glasgow Caledonian University","Glasgow","#77","#1,147","35.5","15,010","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-hertfordshire-505661","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Hertfordshire","Hatfield (U.K.)","#78","#1,172","34.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-greenwich-529153","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Greenwich","London (U.K.)","#79","#1,203","34.3","16,565","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-central-lancashire-529003","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Central Lancashire","Preston","#80","#1,239","33.6","20,030","(tie)"
"https://www.usnews.com/education/best-global-universities/de-montfort-university-529563","https://www.usnews.com/static-atlas/assets/img/education/education.svg","De Montfort University","Leicester","#81","#1,261","33.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-bradford-528905","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Bradford","Bradford","#82","#1,266","32.9","8,415","(tie)"
"https://www.usnews.com/education/best-global-universities/goldsmiths-university-london-529433","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Goldsmiths University London","London (U.K.)","#83","#1,317","31.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/kingston-university-529552","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kingston University","Kingston upon Thames","#83","#1,317","31.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/sheffield-hallam-university-529220","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Sheffield Hallam University","Sheffield","#83","#1,317","31.8","26,355","(tie)"
"https://www.usnews.com/education/best-global-universities/leeds-beckett-university-529564","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Leeds Beckett University","Leeds","#86","#1,365","30.9","19,105","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-derby-530046","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Derby","Derby","#87","#1,389","30.3","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-london-school-oriental-african-studies-soas-529061","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of London School Oriental & African Studies (SOAS)","London (U.K.)","#88","#1,463","28.6","4,685","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-westminster-529456","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Westminster","London (U.K.)","#89","#1,498","27.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-wolverhampton-529572","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Wolverhampton","Wolverhampton","#90","#1,526","27.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/roehampton-university-530001","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Roehampton University","London","#91","#1,712","22.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/edge-hill-university-530096","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Edge Hill University","Ormskirk","#92","#1,912","14.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/cardiff-metropolitan-university-529938","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Cardiff Metropolitan University","Cardiff","Unranked","Unranked","N/A","N/A",""